None,,arfA,arfA,arfA,mscL,mscL,mscL,arfA,arfA,arfA,mscL,mscL,mscL,common,common
Escherichia coli KTE182,1181728,S1PLP5,S1PLP5_ECOLX,EOW93231.1,S1NW23,S1NW23_ECOLX,EOW93230.1,11263.0,11481.0,True,10853.0,11266.0,False,3,0.9
Escherichia coli KTE146,1182725,L4IYH3,L4IYH3_ECOLX,ELG85406.1,L4IXL2,L4IXL2_ECOLX,ELG85405.1,14587.0,14805.0,True,14180.0,14590.0,False,3,0.9
Escherichia coli O104:H4 (strain 2011C-3493),1133852,A0A0E0XTE5,A0A0E0XTE5_ECO1C,AFS72438.1,A0A0E0XV03,A0A0E0XV03_ECO1C,AFS72439.1,514895.0,515113.0,False,515110.0,515520.0,True,3,0.9
Escherichia coli O111:H- (strain 11128 / EHEC),585396,C8UGP1,C8UGP1_ECO1A,BAI37885.1,C8UGP0,C8UGP0_ECO1A,BAI37884.1,4109318.0,4109536.0,True,4108911.0,4109321.0,False,3,0.9
Citrobacter freundii complex sp. CFNIH4,2077148,A0A2L0TGV0,A0A2L0TGV0_9ENTR,AUZ71454.1,A0A2L0THZ1,A0A2L0THZ1_9ENTR,AUZ71453.1,3947796.0,3948014.0,True,3947386.0,3947799.0,False,3,0.9
Escherichia coli O111:H11 str. CVM9455,1165939,K4XSB8,K4XSB8_ECOLX,EJE79466.1,K4WG45,K4WG45_ECOLX,EJE79467.1,16621.0,16839.0,False,16836.0,17246.0,True,3,0.9
Escherichia coli KTE108,1182704,S1JCQ4,S1JCQ4_ECOLX,EOW29601.1,S1IPJ1,S1IPJ1_ECOLX,EOW29600.1,14762.0,14980.0,True,14355.0,14765.0,False,3,0.9
Escherichia coli O111:H8 str. CVM9634,1165944,K4WQQ0,K4WQQ0_ECOLX,EJE65596.1,K4UUT2,K4UUT2_ECOLX,EJE65595.1,9505.0,9723.0,True,9098.0,9508.0,False,3,0.9
Escherichia coli KTE107,1182703,S1HTU1,S1HTU1_ECOLX,EOW18802.1,S1IGA9,S1IGA9_ECOLX,EOW18801.1,9748.0,9966.0,True,9341.0,9751.0,False,3,0.9
Escherichia coli KTE100,1182699,S1GJ21,S1GJ21_ECOLX,EOW02987.1,S1H6C8,S1H6C8_ECOLX,EOW02986.1,11586.0,11804.0,True,11179.0,11589.0,False,3,0.9
Actinobacillus pleuropneumoniae serovar 11 str. 56153,754260,E0FAL6,E0FAL6_ACTPL,EFM98558.1,E0FCR7,E0FCR7_ACTPL,EFM97854.1,12545.0,12787.0,True,58092.0,58514.0,False,-45305,0.8
Yersiniaceae bacterium 2016Iso4,2060068,A0A2N5DUE8,A0A2N5DUE8_9GAMM,PLR30419.1,A0A2N5DUD9,A0A2N5DUD9_9GAMM,PLR30420.1,28945.0,29124.0,False,29171.0,29581.0,True,-47,0.8
[Haemophilus] felis,123822,A0A1T0BBS8,A0A1T0BBS8_9PAST,OOS07648.1,A0A1T0AZY1,A0A1T0AZY1_9PAST,OOS03468.1,160291.0,160572.0,True,58751.0,59173.0,False,-101118,0.8
Pseudomonas sp. Choline-3u-10,2058311,A0A2N1D021,A0A2N1D021_9PSED,PKG94902.1,A0A2N1D2W0,A0A2N1D2W0_9PSED,PKG95923.1,473195.0,473353.0,True,81998.0,82408.0,False,-390787,0.8
Pseudomonas trivialis,200450,A0A0R2ZHK1,A0A0R2ZHK1_9PSED,KRP57828.1,A0A0R2ZF20,A0A0R2ZF20_9PSED,KRP59478.1,18301.0,18465.0,False,69933.0,70349.0,True,-51468,0.8
Pseudomonas sp. Ea RS28,1960919,A0A1V4F3L2,A0A1V4F3L2_9PSED,OPG76415.1,A0A1V4EZ56,A0A1V4EZ56_9PSED,OPG74831.1,2627.0,2791.0,True,117.0,428.0,False,-2199,0.8
Pseudomonas marginalis ICMP 11289,1198318,A0A0W0LNV4,A0A0W0LNV4_PSEMA,KTC11718.1,A0A0W0LN89,A0A0W0LN89_PSEMA,KTC11501.1,19329.0,19484.0,False,6264.0,6710.0,True,-12619,0.8
Pseudomonas otitidis,319939,A0A1I0URG1,A0A1I0URG1_9PSED,SFA66470.1,A0A1I0UPW8,A0A1I0UPW8_9PSED,SFA66114.1,65646.0,65798.0,False,25734.0,26150.0,True,-39496,0.8
Pseudomonas poae,200451,A0A219A9T9,A0A219A9T9_9PSED,OWQ42208.1,A0A219A4W5,A0A219A4W5_9PSED,OWQ41206.1,59178.0,59342.0,False,42541.0,42957.0,True,-16221,0.8
Pseudomonas savastanoi pv. nerii,360921,A0A0P9VCB3,A0A0P9VCB3_PSESS,KWS38543.1,A0A0N8S9F3,A0A0N8S9F3_PSESS,KWS38396.1,42001.0,42156.0,True,15946.0,16392.0,False,-25609,0.8
Pseudomonas sp. (strain M1),95619,W5ITG4,W5ITG4_PSEUO,ETM65537.1,W5ISM1,W5ISM1_PSEUO,ETM65293.1,906626.0,906778.0,True,615588.0,616001.0,False,-290625,0.8
Pseudomonas sp. 22 E 5,1844093,A0A1B5F8P0,A0A1B5F8P0_9PSED,CRM95197.1,A0A1B5EZ51,A0A1B5EZ51_9PSED,CRM91849.1,72464.0,72628.0,True,82062.0,82478.0,False,-9434,0.8
Pseudomonas sp. BDAL1,1884210,A0A1E3XSG9,A0A1E3XSG9_9PSED,ODS46867.1,A0A1E3XVE6,A0A1E3XVE6_9PSED,ODS47862.1,33563.0,33718.0,False,166.0,612.0,True,-32951,0.8
Rodentibacter heylii,1906744,A0A1V3KDC0,A0A1V3KDC0_9PAST,OOF71391.1,A0A1V3KFG9,A0A1V3KFG9_9PAST,OOF76130.1,66357.0,66623.0,True,13498.0,13887.0,False,-52470,0.8
Pseudomonas sp. EGD-AK9,1386078,U1ZSW3,U1ZSW3_9PSED,ERI50755.1,U2B6B3,U2B6B3_9PSED,ERI50746.1,229.0,426.0,True,12626.0,13039.0,False,-12200,0.8
Pseudomonas sp. FFUP_PS_473,2060418,A0A2N5C0Q4,A0A2N5C0Q4_9PSED,PLP95803.1,A0A2N5BZH5,A0A2N5BZH5_9PSED,PLP95341.1,123297.0,123461.0,False,44531.0,44944.0,True,-78353,0.8
Pseudomonas syringae,317,A0A1I4RGU9,A0A1I4RGU9_PSESX,PPL11958.1,A0A2S6J5L8,A0A2S6J5L8_PSESX,PPL11491.1,61409.0,61564.0,True,30582.0,31028.0,False,-30381,0.8
Pseudomonas sp. FW305-E2,2075558,A0A2K4LTH6,A0A2K4LTH6_9PSED,POA88150.1,A0A2K4LUP6,A0A2K4LUP6_9PSED,POA88564.1,50930.0,51094.0,False,38359.0,38778.0,True,-12152,0.8
Pseudomonas sp. GV071,2135754,A0A2T5H794,A0A2T5H794_9PSED,PTQ67451.1,A0A2T5H7R2,A0A2T5H7R2_9PSED,PTQ67619.1,74606.0,74791.0,False,34368.0,34784.0,True,-39822,0.8
Pseudomonas sp. GW456-E7,2070669,A0A2N8GG63,A0A2N8GG63_9PSED,PNB72797.1,A0A2N8GBS2,A0A2N8GBS2_9PSED,PNB71227.1,29157.0,29321.0,True,9098.0,9511.0,False,-19646,0.8
Pseudomonas sp. HAR-UPW-AIA-41,1985301,A0A2A2IW41,A0A2A2IW41_9PSED,PAV48121.1,A0A2A2IS43,A0A2A2IS43_9PSED,PAV46711.1,266590.0,266748.0,False,14610.0,15020.0,True,-251570,0.8
Pseudomonas sp. HMSC08G10,1581141,A0A1F1PYS7,A0A1F1PYS7_9PSED,OFS69986.1,A0A1F1PXD1,A0A1F1PXD1_9PSED,OFS69678.1,150299.0,150463.0,False,43680.0,44090.0,True,-106209,0.8
Pseudomonas sp. ICMP 561,1718918,A0A2G0WD74,A0A2G0WD74_9PSED,PHN30642.1,A0A2G0VRU8,A0A2G0VRU8_9PSED,PHN23164.1,127419.0,127574.0,True,6380.0,6826.0,False,-120593,0.8
Pseudomonas sp. MWU12-2312b,2071716,A0A2S5F101,A0A2S5F101_9PSED,PPA04242.1,A0A2S5EP87,A0A2S5EP87_9PSED,PPA00404.1,198.0,362.0,False,473.0,886.0,True,-111,0.8
Pseudomonas sp. PA27(2017),1932112,A0A1Q9XW71,A0A1Q9XW71_9PSED,OLU30371.1,A0A1Q9Y300,A0A1Q9Y300_9PSED,OLU33497.1,69450.0,69602.0,False,235878.0,236291.0,True,-166276,0.8
Pseudomonas stutzeri NF13,1212548,M2TQN6,M2TQN6_PSEST,EMD99605.1,M2TPR2,M2TPR2_PSEST,EMD99270.1,211668.0,211826.0,True,119634.0,120044.0,False,-91624,0.8
Actinobacillus seminis,722,A0A263HF06,A0A263HF06_9PAST,OZN25146.1,A0A263HDK3,A0A263HDK3_9PAST,OZN25181.1,145208.0,145489.0,False,191186.0,191575.0,True,-45697,0.8
Bacillus sp. FJAT-22058,1581037,A0A0M1NTM4,A0A0M1NTM4_9BACI,KOR85581.1,A0A0M1NMR7,A0A0M1NMR7_9BACI,KOR83501.1,3696443.0,3696631.0,True,1060098.0,1060496.0,False,-2635947,0.8
Rodentibacter ratti,1906745,A0A1V3L7A2,A0A1V3L7A2_9PAST,OOF85735.1,A0A1V3LE26,A0A1V3LE26_9PAST,OOF87683.1,134238.0,134483.0,False,17733.0,18122.0,True,-116116,0.8
Salmonella enterica subsp. enterica serovar Schwarzengrund,340190,A0A271C8T0,A0A271C8T0_SALET,PAO94739.1,A0A271CAF4,A0A271CAF4_SALET,PAO94740.1,16499.0,16768.0,False,16704.0,17117.0,True,64,0.8
Enterobacter agglomerans (Erwinia herbicola) (Pantoea agglomerans),549,A0A1T4SBY5,A0A1T4SBY5_ENTAG,SKA25418.1,A0A1T4SB48,A0A1T4SB48_ENTAG,SKA25432.1,18892.0,19179.0,False,19126.0,19536.0,True,53,0.8
Serratia symbiotica SCt-VLC,1347341,A0A068RBM7,A0A068RBM7_9GAMM,CDG46944.1,A0A068RBM2,A0A068RBM2_9GAMM,CDG46937.1,162482.0,162709.0,True,156012.0,156425.0,False,-6057,0.8
Eikenella corrodens CC92I,1073362,V7IGT2,V7IGT2_EIKCO,ETA84539.1,V7ICV2,V7ICV2_EIKCO,ETA84055.1,190262.0,190495.0,True,19560.0,19991.0,False,-170271,0.8
Salmonella enterica subsp. enterica serovar Gaminara,913070,A0A2T8WUM5,A0A2T8WUM5_SALET,PVJ42100.1,A0A2T8WUL2,A0A2T8WUL2_SALET,PVJ42099.1,9612.0,9881.0,True,9263.0,9676.0,False,64,0.8
Budvicia aquatica,82979,A0A2C6DHS7,A0A2C6DHS7_9GAMM,PHI27862.1,A0A2C6DGI1,A0A2C6DGI1_9GAMM,PHI27854.1,45050.0,45256.0,True,35038.0,35445.0,False,-9605,0.8
Eikenella corrodens,539,A0A1A9RAQ7,A0A1A9RAQ7_EIKCO,OAM15190.1,A0A1A9RFP3,A0A1A9RFP3_EIKCO,OAM21193.1,26695.0,26928.0,True,129587.0,130018.0,False,-102659,0.8
Serratia proteamaculans,28151,A0A1W5DS51,A0A1W5DS51_9GAMM,SMB51739.1,A0A1W5DRW7,A0A1W5DRW7_9GAMM,SMB51727.1,9445.0,9651.0,True,8971.0,9387.0,False,-58,0.8
Serratia liquefaciens,614,A0A0X8SJ55,A0A0X8SJ55_SERLI,AMH00229.1,A0A0X8SJJ2,A0A0X8SJJ2_SERLI,AMH00230.1,3028369.0,3028575.0,False,3028633.0,3029049.0,True,-58,0.8
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,85569,A0A0U1JGG5,A0A0U1JGG5_SALTM,CNR82321.1,A0A0T9WAI3,A0A0T9WAI3_SALTM,CNR82357.1,16484.0,16753.0,False,16689.0,17102.0,True,64,0.8
Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K,1243602,A0A241S812,A0A241S812_SALCE,ASG86479.1,A0A241S817,A0A241S817_SALCE,ASG86480.1,434633.0,434902.0,False,434838.0,435251.0,True,64,0.8
Salmonella rubislaw,598,A0A2T8VS75,A0A2T8VS75_SALRU,PVJ29019.1,A0A2T8VS77,A0A2T8VS77_SALRU,PVJ29020.1,16529.0,16798.0,False,16734.0,17147.0,True,64,0.8
Salmonella sp. HMSC13B08,1581094,A0A1F2KC55,A0A1F2KC55_9ENTR,OFV19729.1,A0A1F2KC59,A0A1F2KC59_9ENTR,OFV19730.1,16478.0,16696.0,False,16693.0,17103.0,True,3,0.8
Pseudomonas fragi,296,A0A0X8EV41,A0A0X8EV41_PSEFR,PAA24238.1,A0A267D1B1,A0A267D1B1_PSEFR,PAA42311.1,144781.0,144930.0,True,50672.0,51085.0,False,-93696,0.8
Citrobacter sp. 92,2019568,A0A212HIH6,A0A212HIH6_9ENTR,SAZ28329.1,A0A212HIE9,A0A212HIE9_9ENTR,SAZ28356.1,1667486.0,1667704.0,False,1667701.0,1668111.0,True,3,0.8
Bibersteinia trehalosi Y31,1261658,A0A179CY06,A0A179CY06_BIBTR,OAQ14789.1,A0A179CW09,A0A179CW09_BIBTR,OAQ14093.1,1247466.0,1247678.0,False,451587.0,451985.0,True,-795481,0.8
Bacillus simplex,1478,A0A270AE76,A0A270AE76_9BACI,PAL10686.1,A0A270AH91,A0A270AH91_9BACI,PAL12083.1,66160.0,66444.0,True,90369.0,90767.0,False,-23925,0.8
Yersinia similis,367190,A0A0T9PAF1,A0A0T9PAF1_9GAMM,CNH54436.1,A0A0T9PAE8,A0A0T9PAE8_9GAMM,CNH54398.1,53057.0,53257.0,True,52543.0,52947.0,False,-110,0.8
Aeromonas sobria,646,A0A2N3IZU0,A0A2N3IZU0_AERSO,PKQ78753.1,A0A2N3ISH5,A0A2N3ISH5_AERSO,PKQ74705.1,201736.0,201975.0,True,66282.0,66689.0,False,-135047,0.8
Enterobacter cloacae S611,1399146,V5AZ16,V5AZ16_ENTCL,ESS58907.1,V5AUK4,V5AUK4_ENTCL,ESS58889.1,9558.0,9809.0,True,9191.0,9604.0,False,46,0.8
Aeromonas dhakensis,196024,A0A249CX21,A0A249CX21_9GAMM,ASX10772.1,A0A249CXM0,A0A249CXM0_9GAMM,ASX10973.1,1670588.0,1670806.0,False,1904752.0,1905162.0,True,-233946,0.8
Yersinia pseudotuberculosis serotype O:1b (strain IP 31758),349747,A0A0U1R1B5,A0A0U1R1B5_YERP3,ABS48978.1,A7FNK6,MSCL_YERP3,ABS47833.1,4380279.0,4380479.0,True,4379756.0,4380169.0,False,-110,0.8
Aeromonas salmonicida subsp. pectinolytica 34mel,1324960,T0PI96,T0PI96_AERSA,ATP10996.1,T0R421,T0R421_AERSA,ATP10729.1,4272945.0,4273181.0,True,3964338.0,3964745.0,False,-308200,0.8
Yersinia pestis biovar Orientalis str. IP275,373665,A0A0M1VBT7,A0A0M1VBT7_YERPE,EDR34146.1,A0A0M1VCB6,A0A0M1VCB6_YERPE,EDR34157.1,2803.0,3003.0,False,3113.0,3526.0,True,-110,0.8
Yersinia nurmii,685706,A0A0T9KQB4,A0A0T9KQB4_9GAMM,CNE20427.1,A0A0T9KQ74,A0A0T9KQ74_9GAMM,CNE20387.1,9655.0,9861.0,True,9195.0,9605.0,False,-50,0.8
Yersinia frederiksenii Y225,1454377,A0A0B6FK67,A0A0B6FK67_YERFR,AJI86080.1,A0A0B6FC72,A0A0B6FC72_YERFR,AJI86938.1,3863184.0,3863384.0,False,3863445.0,3863855.0,True,-61,0.8
Vibrio albensis VL426,593585,C2HYI2,C2HYI2_VIBAB,EEO01365.1,C2I0L4,C2I0L4_VIBAB,EEO01146.1,253233.0,253460.0,True,32261.0,32671.0,False,-220562,0.8
Aeromonas veronii,654,A0A2T4N097,A0A2T4N097_9GAMM,PTH80196.1,A0A2N5WTH7,A0A2N5WTH7_9GAMM,PTH80511.1,22196.0,22435.0,False,107133.0,107543.0,True,-84698,0.8
Yersinia aldovae,29483,A0A0T9T4A8,A0A0T9T4A8_YERAL,CNK58920.1,A0A0T9T2Y4,A0A0T9T2Y4_YERAL,CNK58947.1,279220.0,279426.0,False,279480.0,279890.0,True,-54,0.8
Vibrio sp. 2521-89,2014742,A0A220TCS4,A0A220TCS4_9VIBR,ASK53567.1,A0A220TC66,A0A220TC66_9VIBR,ASK53336.1,275392.0,275619.0,True,43304.0,43714.0,False,-231678,0.8
Vibrio metoecus,1481663,A0A271VY21,A0A271VY21_9VIBR,PAR23060.1,A0A067BB23,A0A067BB23_9VIBR,PAR21406.1,177392.0,177616.0,True,119952.0,120362.0,False,-57030,0.8
Vibrio cholerae RC385,345074,D7HAN3,D7HAN3_VIBCL,EFH74168.1,D7HCQ8,D7HCQ8_VIBCL,EFH74893.1,97234.0,97461.0,True,983103.0,983513.0,False,-885642,0.8
Vibrio cholerae,666,A0A085R5G1,A0A085R5G1_VIBCL,KFE27872.1,A0A086SL56,A0A086SL56_VIBCL,KFE28321.1,170428.0,170655.0,False,113930.0,114340.0,True,-56088,0.8
Pseudomonas graminis,158627,A0A1X0VJT1,A0A1X0VJT1_9PSED,ORJ03581.1,A0A1X0VI72,A0A1X0VI72_9PSED,ORJ03124.1,78430.0,78585.0,True,88770.0,89216.0,False,-10185,0.8
Pantoea agglomerans Eh318,1408177,A0A059IB58,A0A059IB58_ENTAG,KDA94179.1,A0A059IAT9,A0A059IAT9_ENTAG,KDA94180.1,19438.0,19671.0,False,19672.0,20082.0,True,-1,0.8
Proteus penneri ATCC 35198,471881,C0AZY8,C0AZY8_9GAMM,EEG85049.1,C0AZY9,C0AZY9_9GAMM,EEG85050.1,630340.0,630462.0,False,630549.0,630956.0,True,-87,0.8
Haemophilus parainfluenzae,729,A0A2J6PBM8,A0A2J6PBM8_HAEPA,PMC57263.1,A0A1B8T5Z6,A0A1B8T5Z6_HAEPA,PMC56713.1,68605.0,68859.0,True,5363.0,5749.0,False,-62856,0.8
Neisseria perflava,33053,A0A2I1Y808,A0A2I1Y808_NEIPE,PLA51020.1,A0A2I1QXL2,A0A2I1QXL2_NEIPE,PLA50104.1,335351.0,335536.0,False,248082.0,248525.0,True,-86826,0.8
Pseudomonas amygdali pv. mori,34065,A0A0P9UZ80,A0A0P9UZ80_PSEA0,KPX95460.1,A0A0P9UUP3,A0A0P9UUP3_PSEA0,KPX93606.1,28311.0,28466.0,True,40557.0,41003.0,False,-12091,0.8
Mycobacterium tuberculosis,1773,A0A1K3RKG2,A0A1K3RKG2_MYCTX,SGE31338.1,A0A1K3R759,A0A1K3R759_MYCTX,SGE31367.1,15636.0,15836.0,False,15841.0,16248.0,True,-5,0.8
Mannheimia haemolytica D35,1329905,S9ZGN0,S9ZGN0_MANHA,EPZ00189.1,S9YHC9,S9YHC9_MANHA,EPZ00882.1,5757.0,5966.0,True,42170.0,42565.0,False,-36204,0.8
Lonsdalea quercina,71657,A0A1H4G0Y7,A0A1H4G0Y7_9GAMM,SEB02730.1,A0A1H4G1T5,A0A1H4G1T5_9GAMM,SEB02712.1,9537.0,9746.0,True,9071.0,9478.0,False,-59,0.8
Escherichia coli 99.0741,869678,V6FWP6,V6FWP6_ECOLX,EIH45165.1,V6FZ65,V6FZ65_ECOLX,EIH45197.1,58830.0,59048.0,False,59045.0,59455.0,True,3,0.8
Escherichia coli B354,550677,D6JG74,D6JG74_ECOLX,EFF10850.2,D6JG73,D6JG73_ECOLX,EFF10849.2,9705.0,9923.0,True,9298.0,9708.0,False,3,0.8
Leclercia sp. LSNIH1,1920114,A0A2I8NML3,A0A2I8NML3_9ENTR,AUU82960.1,A0A2I8NMM9,A0A2I8NMM9_9ENTR,AUU82959.1,486152.0,486397.0,True,485768.0,486184.0,False,32,0.8
Escherichia coli HVH 70 (4-2963531),1281011,T6H860,T6H860_ECOLX,EQP45030.1,T6GTG9,T6GTG9_ECOLX,EQP45029.1,9522.0,9740.0,True,9112.0,9525.0,False,3,0.8
Kluyvera sp. Nf5,2116543,A0A2T3X576,A0A2T3X576_9ENTR,PTA87639.1,A0A2T3X519,A0A2T3X519_9ENTR,PTA87640.1,16428.0,16643.0,False,16644.0,17057.0,True,-1,0.8
Pseudomonas avellanae,46257,A0A261WLJ6,A0A261WLJ6_9PSED,OZI87028.1,A0A261WM73,A0A261WM73_9PSED,OZI87225.1,21522.0,21677.0,True,33936.0,34382.0,False,-12259,0.8
Klebsiella sp. OBRC7,936565,J4WJK3,J4WJK3_9ENTR,EJU25156.1,J4WJI6,J4WJI6_9ENTR,EJU25141.1,10436.0,10696.0,False,10650.0,11063.0,True,46,0.8
Kingella oralis ATCC 51147,629741,C4GH68,C4GH68_9NEIS,EEP68306.1,C4GL21,C4GL21_9NEIS,EEP67430.1,33992.0,34186.0,False,171803.0,172237.0,True,-137617,0.8
Halomonas sp. 'Soap Lake #7',1962264,A0A1U9R5L2,A0A1U9R5L2_9GAMM,AQU81435.1,A0A1U9RDV2,A0A1U9RDV2_9GAMM,AQU84323.1,436750.0,436899.0,False,3995741.0,3996226.0,True,-3558842,0.8
Halomonas meridiana,29570,A0A1N6DFY1,A0A1N6DFY1_9GAMM,SIN61289.1,A0A1N6DV28,A0A1N6DV28_9GAMM,SIN74629.1,477654.0,477803.0,False,3189933.0,3190424.0,True,-2712130,0.8
Escherichia coli M605,656417,F4T4H6,F4T4H6_ECOLX,EGI13730.1,F4T4H5,F4T4H5_ECOLX,EGI13729.1,9990.0,10208.0,True,9580.0,9993.0,False,3,0.8
Pseudomonas caricapapayae,46678,A0A0P9L1C0,A0A0P9L1C0_9PSED,KPW63042.1,A0A0P9M6V2,A0A0P9M6V2_9PSED,KPW63288.1,75135.0,75290.0,True,78814.0,79260.0,False,-3524,0.8
Haemophilus sp. oral taxon 851 str. F0397,762965,H1LMS9,H1LMS9_9PAST,EHO48366.1,H1LNJ0,H1LNJ0_9PAST,EHO47864.1,69770.0,70015.0,True,5253.0,5639.0,False,-64131,0.8
Haemophilus sp. CCUG 60358,1859695,A0A1B8QZQ1,A0A1B8QZQ1_9PAST,OBX91842.1,A0A1B8QY45,A0A1B8QY45_9PAST,OBX91203.1,727.0,981.0,True,5270.0,5653.0,False,-4289,0.8
Neisseria sp. HMSC065C04,1739524,A0A1F0H200,A0A1F0H200_9NEIS,OFO67088.1,A0A1F0GZ98,A0A1F0GZ98_9NEIS,OFO65882.1,178700.0,178885.0,False,8044.0,8487.0,True,-170213,0.8
Neisseria sp. HMSC069H12,1739376,A0A1F1GGZ9,A0A1F1GGZ9_9NEIS,OFR66137.1,A0A1F1GR89,A0A1F1GR89_9NEIS,OFR69373.1,2507.0,2692.0,False,9029.0,9472.0,True,-6337,0.8
Neisseria weaveri,28091,A0A181CGJ0,A0A181CGJ0_9NEIS,SAY50645.1,A0A181CFB0,A0A181CFB0_9NEIS,SAY50235.1,578725.0,578916.0,False,107336.0,107776.0,True,-470949,0.8
Pasteurellaceae bacterium NI1060,1679001,A0A1B3JHV5,A0A1B3JHV5_9PAST,AOF53641.1,A0A1B3JGI7,A0A1B3JGI7_9PAST,AOF53197.1,1657373.0,1657552.0,True,1197470.0,1197859.0,False,-459514,0.8
Pseudomonas amygdali,47877,A0A0P9IJZ9,A0A0P9IJZ9_PSEA0,KPW37026.1,A0A0N8QHI5,A0A0N8QHI5_PSEA0,KPW30886.1,13141.0,13296.0,False,272.0,718.0,True,-12423,0.8
Pseudomonas aeruginosa (strain PA7),381754,A6V0B9,A6V0B9_PSEA7,ABR83632.1,A6VC02,MSCL_PSEA7,ABR86036.1,1115506.0,1115658.0,True,5411228.0,5411641.0,False,-4295570,0.8
Enterobacter sp. (strain 638),399742,A4WFA0,A4WFA0_ENT38,ABP62380.1,A4WF99,MSCL_ENT38,ABP62379.1,4038698.0,4038940.0,True,4038311.0,4038724.0,False,26,0.8
Enterobacter sp. 10-1,559104,A0A267RDI8,A0A267RDI8_9ENTR,PAC06480.1,A0A267RET2,A0A267RET2_9ENTR,PAC06479.1,9809.0,10024.0,True,9395.0,9808.0,False,-1,0.8
Providencia alcalifaciens PAL-3,1256993,W3YCQ1,W3YCQ1_9GAMM,ETS98563.1,W3YBM3,W3YBM3_9GAMM,ETS98579.1,8982.0,9182.0,True,8568.0,8981.0,False,-1,0.8
Providencia alcalifaciens F90-2004,1256987,X6QBI0,X6QBI0_9GAMM,ETT06529.1,X6QBH4,X6QBH4_9GAMM,ETT06551.1,9214.0,9414.0,True,8800.0,9213.0,False,-1,0.8
Plesiomonas shigelloides (Aeromonas shigelloides),703,A0A1A9AWH4,A0A1A9AWH4_PLESH,AVQ86930.1,A0A2P1VQL8,A0A2P1VQL8_PLESH,AVQ87463.1,1360245.0,1360418.0,True,2074164.0,2074574.0,False,-713746,0.8
Enterobacterales bacterium CwR94,2025587,A0A2I0FQ17,A0A2I0FQ17_9GAMM,PKH18750.1,A0A2I0FQ70,A0A2I0FQ70_9GAMM,PKH18749.1,9583.0,9822.0,True,9182.0,9586.0,False,3,0.8
Erwinia amylovora (strain CFBP1430),665029,D4I2U9,D4I2U9_ERWAC,CBA23531.1,D4I2U6,D4I2U6_ERWAC,CBA23525.1,3471589.0,3471813.0,True,3468788.0,3469201.0,False,-2388,0.8
Neisseria weaveri LMG 5135,1051985,G2DNI1,G2DNI1_9NEIS,EGV35783.1,G2DLM8,G2DLM8_9NEIS,EGV37369.1,32778.0,32984.0,True,12568.0,13008.0,False,-19770,0.8
Erwinia sp. Leaf53,1736225,A0A0Q4NLD5,A0A0Q4NLD5_9GAMM,KQN63930.1,A0A0Q4N4U0,A0A0Q4N4U0_9GAMM,KQN63929.1,9424.0,9681.0,True,9003.0,9416.0,False,-8,0.8
Pantoea sp. OV426,1881036,A0A1I5I6W5,A0A1I5I6W5_9GAMM,SFO55856.1,A0A1I5I5N6,A0A1I5I5N6_9GAMM,SFO55837.1,9539.0,9772.0,True,9128.0,9538.0,False,-1,0.8
Escherichia albertii (strain TW07627),502347,B1EQQ2,B1EQQ2_ESCAT,EDS90571.1,B1EQQ3,B1EQQ3_ESCAT,EDS90526.1,116876.0,117094.0,False,117091.0,117501.0,True,3,0.8
Escherichia albertii KF1,1440052,W0AVY7,W0AVY7_9ESCH,AHE60529.1,W0AW41,W0AW41_9ESCH,AHE60530.1,2800885.0,2801103.0,False,2801100.0,2801510.0,True,3,0.8
Pantoea sesami,1881110,A0A1M5YQ31,A0A1M5YQ31_9GAMM,SHI14182.1,A0A1M5YQN4,A0A1M5YQN4_9GAMM,SHI14170.1,9543.0,9758.0,True,9132.0,9542.0,False,-1,0.8
Escherichia coli 1-250-04_S3_C2,1444163,A0A080IN06,A0A080IN06_ECOLX,KEO29070.1,A0A080IPU2,A0A080IPU2_ECOLX,KEO29098.1,10669.0,10887.0,True,10262.0,10672.0,False,3,0.8
Escherichia coli 4.0522,869681,I2UH84,I2UH84_ECOLX,EIH77560.1,I2UHE3,I2UHE3_ECOLX,EIH77619.1,51083.0,51301.0,False,51298.0,51708.0,True,3,0.8
Escherichia coli 4.0967,869687,I2X0L6,I2X0L6_ECOLX,EII36541.1,I2X2C6,I2X2C6_ECOLX,EII37151.1,950326.0,950544.0,False,950541.0,950951.0,True,3,0.8
Haemophilus pittmaniae HK 85,1035188,F9Q6W4,F9Q6W4_9PAST,EGV07206.1,F9Q800,F9Q800_9PAST,EGV06264.1,246433.0,246576.0,True,7884.0,8270.0,False,-238163,0.8
Escherichia coli KTE112,1169376,L4V2T1,L4V2T1_ECOLX,ELI21860.1,L4V275,L4V275_ECOLX,ELI21859.1,9511.0,9729.0,True,9105.0,9398.0,False,-113,0.8
Pseudomonas aeruginosa (strain UCBPP-PA14),208963,A0A0H2ZFG9,A0A0H2ZFG9_PSEAB,ABJ13265.1,Q02G63,MSCL_PSEAB,ABJ13992.1,1053401.0,1053553.0,True,5444712.0,5445125.0,False,-4391159,0.8
Escherichia coli O7:K1 (strain IAI39 / ExPEC),585057,A0A0H3MQQ6,A0A0H3MQQ6_ECO7I,CAR19900.1,B7NLL0,MSCL_ECO7I,CAR19899.1,3952806.0,3953024.0,True,3952399.0,3952809.0,False,3,0.8
